id,trans_date,master_code,master_name,detail_code,detail_name,market_code,market_name,u_price,m_price,l_price,avg_price,qty
00f398b6-eb68-4d7e-85ea-5b676a8b5643,2016-03-26 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,120,93,46,89,6912
02aff68f-5444-41aa-9fb6-d4a74dd533ba,2016-03-19 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,103,82,46,79,7535
08d3eaa2-f679-4159-8a65-b14b5ff84b07,2016-02-01 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,91,62,26,61,3975
0b7b0b69-21e1-4657-a6f0-a2f1f8b3e239,2016-03-17 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,98,76,44,74,6345
0c1831b4-262b-4963-80d9-199ed38e4308,2016-02-06 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,92,37,2,41,13874
14c5f8cc-a586-4c23-b6fc-7de69f65950a,2016-01-23 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,58,40,20,40,10524
14d3db9a-13ae-48a2-abcb-8ba65fc65da9,2016-03-02 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,44,33,16,32,10624
15a57717-140c-433c-86a1-b134c09f70a7,2016-03-16 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,97,68,30,66,7723
16b3eca0-eb08-49b5-9f4e-77a53f90a39c,2016-03-23 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,115,88,39,83,5944
1aebdb44-995e-4ea2-a63a-d4b91060a260,2016-03-11 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,57,41,24,41,6320
1c62c143-af41-45f7-9910-59dfc8fef6ab,2016-01-09 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,32,20,8,20,13412
257f2351-8a19-4022-915f-9129ca876a03,2016-03-29 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,129,90,44,88,9731
2e51c0e2-897c-4490-a6ed-347eaea5b4b8,2016-01-05 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,39,29,16,29,13789
3078caeb-c5d6-4e53-bfdf-3174e61d005c,2016-03-01 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,40,28,13,28,13029
37d9d266-4489-47d5-9ca5-2a19da8992f7,2016-01-27 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,79,58,30,56,7377
3a720002-ddb9-4031-801d-06fbc0eb9dc1,2016-01-13 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,39,28,16,28,8368
458c3a7e-08ab-4572-98b3-8df65286def6,2016-01-07 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,27,16,7,17,15133
463953a4-721b-4ab4-a6bc-a90b163d67e8,2016-01-10 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,38,25,10,24,11557
49ec1779-a450-46e4-99bb-d6e3ccea6322,2016-01-17 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,51,31,15,32,8298
4b8b0bf4-03aa-4c61-a910-5e9f4f25866d,2016-01-22 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,58,42,22,41,8930
4d5ecddc-b453-443e-8a0f-fd46d2f002dd,2016-03-08 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,53,39,23,39,12633
56060379-abcc-4b65-85e0-99de7000adec,2016-03-18 00:00:00,FJ,番茄,FJ3,牛蕃茄,104,台北二,101,77,44,75,6189
